st_reg_id,st_source_url,st_sci_title,,drugs_tested,drug_classes,classification,confidence,reason_proof,n_drugs,n_drug_rows
ACTRN12623001042639,https://anzctr.org.au/ACTRN12623001042639.aspx,Efficacy of Low Dose Naltrexone for the treatment of symptoms of Post COVID-19 Condition,,['naltrexone'],['Small‑molecule immunosuppressants / DMARDs'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
ACTRN12624001162505,https://anzctr.org.au/ACTRN12624001162505.aspx,Low Dose Naltrexone for the treatment of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) and Long COVID Condition,,['naltrexone'],['Small‑molecule immunosuppressants / DMARDs'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
CTIS2023-504087-42-00,https://euclinicaltrials.eu//search-for-clinical-trials/?lang=en&EUCT=2023-504087-42-00,"A Phase 3, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Plitidepsin in Adults with Post COVID-19 Condition - THALASA",,['plitidepsin'],['Broad‑spectrum & host‑directed antivirals'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTIS2023-504641-32-00,https://euclinicaltrials.eu//search-for-clinical-trials/?lang=en&EUCT=2023-504641-32-00,"A geroscience approach to post-acute COVID-19 syndrome (PACS) by Diet and Exercise plus rapamycin or metformin to treat Frailty and restore immune functions: a randomized, single center clinical trial. - Gero-PACS",,"['metformin', 'rapamycin']","['Biguanides', 'Small‑molecule immunosuppressants / DMARDs']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,2,2
CTIS2023-504826-21-00,https://euclinicaltrials.eu//search-for-clinical-trials/?lang=en&EUCT=2023-504826-21-00,"Phase 2a, double-blind, randomized, placebo-controlled trial of methylprednisolone versus placebo in patients with cognitive deficits in post-COVID-19 syndrome (PCS) - PoCoVIT - PoCoVIT",,['methylprednisolone'],['Systemic corticosteroids'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTIS2023-508123-12-00,https://euclinicaltrials.eu//search-for-clinical-trials/?lang=en&EUCT=2023-508123-12-00,"Safety and efficacy of anakinra treatment for patients with persistent respiratory symptoms post acute covid and immune system activation: the PRECISION double-blind, randomized clinical trial - PRECISION",,['anakinra'],['Biologic cytokine / receptor blockers'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,1,1
CTIS2024-511580-28-00,https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en&EUCT=2024-511580-28-00,RECLAIM: an Adaptive Platform Trial for the Evaluation of Treatments for Post-Acute Sequelae of SARS-CoV-2 Infection (PASC),,"['colchicine', 'metformin']","['Biguanides', 'Microtubule inhibitor anti‑inflammatory']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,2,2
CTIS2024-511580-28-02,,RECLAIM: an Adaptive Platform Trial for the Evaluation of Treatments for Post-Acute Sequelae of SARS-CoV-2 Infection (PASC),,"['colchicine', 'metformin']","['Biguanides', 'Microtubule inhibitor anti‑inflammatory']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,2,2
CTIS2024-511628-16-00,https://euclinicaltrials.eu//search-for-clinical-trials/?lang=en&EUCT=2024-511628-16-00,Randomized adaptive assessment of post COVID syndrome  treatments (RAPID) Reducing Inflammatory Activity in Patients with post COVID Syndrome  (REVIVE) - 2.0,,['calcium'],['Vitamins & supplements'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTIS2024-511898-30-00,https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en&EUCT=2024-511898-30-00,Impact of post-Acute respiratory distress syndrome COVID sedation on late neuroinflammation (PET-DEXDOCOVID) - APHP200491,,"['dexmedetomidine', 'dimethyl sulfoxide']",['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,2,2
